danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Dark Trap,Emo,Hiphop,Pop,Rap,RnB,Trap Metal,Underground Rap,dnb,hardstyle,psytrance,techhouse,techno,trance,trap
0.537,0.863,10,-3.428,0,0.0521,0.0001,0.199,0.211,0.077,175.02,309943,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.651,0.699,11,-6.642,0,0.183,0.103,0.0,0.114,0.196,101.009,232765,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.878,0.335,1,-11.304,1,0.203,0.259,0.0,0.098,0.106,111.073,218024,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.803,0.63,4,-10.5,1,0.0966,0.0211,0.897,0.0888,0.476,129.011,448000,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.934,0.505,11,-7.648,1,0.168,0.0229,0.0,0.0867,0.691,139.93,181714,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77,0.624,1,-4.547,1,0.289,0.158,0.0,0.264,0.558,145.238,133081,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.669,0.934,11,-8.112,0,0.0423,0.0034,0.699,0.0772,0.0636,140.013,473313,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.592,0.747,8,-4.439,0,0.135,0.0181,0.0,0.0752,0.704,167.858,200133,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.971,0.368,2,-11.462,1,0.432,0.349,0.0,0.091,0.679,110.973,156222,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.76,0.964,2,-5.844,1,0.0576,0.0018,0.7,0.0974,0.641,125.0,248036,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.635,0.952,1,-6.452,1,0.0467,0.0012,0.829,0.477,0.344,146.982,489796,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.503,0.86,8,-4.321,0,0.0266,0.296,0.0,0.0967,0.482,149.931,208400,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.779,0.528,0,-4.513,1,0.0447,0.195,0.0003,0.281,0.643,190.014,176146,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,0.736,4,-6.166,0,0.0842,0.0065,0.706,0.756,0.29,139.979,438857,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.583,0.932,8,-2.485,1,0.0871,0.0015,0.633,0.0815,0.244,150.034,196000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.363,0.735,1,-3.857,1,0.0428,0.0014,0.0001,0.13,0.0721,145.556,295890,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.622,0.94,11,-5.601,0,0.0638,0.0006,0.713,0.684,0.19,142.993,483357,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,184.008,243053,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.543,0.936,1,-4.48,1,0.0687,0.0024,0.635,0.32,0.158,132.011,203500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.665,0.549,4,-8.015,0,0.149,0.001,0.0,0.0689,0.426,155.976,147987,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.583,0.915,8,-5.911,0,0.0448,0.0066,0.914,0.103,0.385,175.034,297600,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.687,0.717,10,-5.366,0,0.217,0.291,0.0,0.458,0.6,180.228,112065,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.916,0.738,10,-11.703,0,0.308,0.517,0.856,0.292,0.517,148.878,129124,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.422,0.96,6,-8.927,1,0.0467,0.001,0.892,0.442,0.485,139.971,196905,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.427,0.679,1,-8.405,1,0.344,0.001,0.0,0.159,0.311,137.398,159518,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.715,0.654,11,-5.413,0,0.181,0.193,0.0,0.0878,0.425,81.94,278112,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.838,0.713,11,-7.062,0,0.254,0.0248,0.0,0.121,0.709,185.808,211893,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.727,0.496,1,-8.78,1,0.0513,0.001,0.684,0.577,0.47,123.992,271216,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.709,0.837,9,-3.803,1,0.561,0.0048,0.0002,0.319,0.278,145.166,270625,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.499,0.965,5,-5.809,0,0.114,0.0028,0.356,0.404,0.0713,137.975,238261,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.724,0.705,2,-5.859,0,0.112,0.067,0.0,0.262,0.662,146.589,246333,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.65,0.965,4,-5.551,0,0.0514,0.0,0.857,0.783,0.515,147.999,395676,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.475,0.149,4,-11.429,1,0.0395,0.844,0.0,0.14,0.318,190.846,105500,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.477,0.691,6,-7.889,0,0.0493,0.0337,0.882,0.157,0.0552,113.233,208941,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.466,0.608,1,-4.8,0,0.45,0.0737,0.0,0.406,0.41,158.96,177867,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.728,0.505,8,-6.361,1,0.185,0.731,0.0,0.107,0.646,155.082,222968,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.522,0.906,7,-5.098,0,0.0455,0.0004,0.835,0.147,0.111,130.003,209722,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.762,0.282,8,-5.479,1,0.0719,0.167,0.102,0.0987,0.155,130.017,147692,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.429,0.884,0,-2.855,1,0.041,0.0031,0.0001,0.343,0.226,150.033,208000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.77,0.641,1,-5.059,1,0.231,0.0391,0.0,0.38,0.303,165.968,148255,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.596,0.243,0,-10.614,1,0.0431,0.94,0.0,0.118,0.455,143.442,206931,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,0.768,6,-4.325,0,0.238,0.0371,0.0,0.518,0.507,160.126,404107,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.581,0.988,10,-4.966,0,0.0743,0.0001,0.73,0.665,0.169,142.011,493277,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.798,0.73,7,-8.576,1,0.0471,0.0001,0.932,0.213,0.299,122.992,422102,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.491,0.955,8,-5.213,1,0.0441,0.001,0.463,0.136,0.127,150.028,220800,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.722,0.764,10,-5.656,0,0.398,0.145,0.0,0.171,0.796,139.831,245413,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.731,0.674,1,-6.986,1,0.274,0.0943,0.0,0.0807,0.701,139.916,165027,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.596,0.875,9,-5.369,0,0.047,0.0455,0.881,0.297,0.174,123.897,250161,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.794,0.43,11,-14.254,0,0.0562,0.021,0.832,0.0996,0.156,120.005,366000,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.38,0.846,5,-2.087,1,0.348,0.0033,0.003,0.689,0.387,158.193,55653,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.396,0.761,1,-7.625,1,0.129,0.0002,0.0001,0.328,0.256,149.852,169608,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.423,0.759,9,-6.069,0,0.0367,0.0135,0.0179,0.113,0.192,150.05,225697,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.791,0.861,10,-9.169,0,0.055,0.0054,0.936,0.0838,0.1,125.988,428544,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.793,0.568,11,-8.373,0,0.049,0.152,0.877,0.12,0.145,121.997,265808,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.573,0.682,7,-13.742,1,0.0369,0.118,0.87,0.0892,0.341,129.994,421553,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.47,0.951,5,-3.107,0,0.0451,0.167,0.0,0.0699,0.348,173.961,303195,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,0.824,8,-5.159,1,0.0604,0.0128,0.0002,0.0527,0.462,150.023,128000,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.684,0.612,4,-6.007,0,0.289,0.11,0.0,0.331,0.295,154.99,197680,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.813,0.703,11,-5.077,0,0.268,0.125,0.0,0.237,0.241,189.656,224533,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.531,0.98,6,-3.688,0,0.125,0.0661,0.0171,0.118,0.183,150.026,375531,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.749,0.978,9,-8.367,1,0.0379,0.0001,0.929,0.112,0.382,127.019,363093,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.763,0.756,8,-3.926,1,0.0685,0.006,0.0002,0.173,0.38,184.008,201520,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.637,0.521,4,-6.959,1,0.109,0.155,0.0,0.0945,0.562,167.792,261427,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
